latitud,longitud
-39.821964,-71.572867
-39.81629228,-71.57166157
-39.81062056,-71.57045614
-39.80494884,-71.5692507
-39.79927712,-71.56804527
-39.7936054,-71.56683984
-39.78793369,-71.56563441
-39.78226197,-71.56442898
-39.77659025,-71.56322354
-39.77091853,-71.56201811
-39.76524681,-71.56081268
-39.75957509,-71.55960725
-39.75390337,-71.55840182
-39.74823165,-71.55719638
-39.74255993,-71.55599095
-39.73688822,-71.55478552
-39.7312165,-71.55358009
-39.72554478,-71.55237466
-39.71987306,-71.55116922
-39.71420134,-71.54996379
-39.70852962,-71.54875836
-39.7028579,-71.54755293
-39.69718618,-71.5463475
-39.69151446,-71.54514206
-39.68584274,-71.54393663
-39.68017103,-71.5427312
-39.67449931,-71.54152577
-39.66882759,-71.54032034
-39.66315587,-71.5391149
-39.65748415,-71.53790947
-39.65181243,-71.53670404
-39.64614071,-71.53549861
-39.64046899,-71.53429318
-39.63479727,-71.53308774
-39.62912555,-71.53188231
-39.62345383,-71.53067688
-39.61778212,-71.52947145
-39.6121104,-71.52826602
-39.60643868,-71.52706058
-39.60076696,-71.52585515
-39.59509524,-71.52464972
-39.58942352,-71.52344429
-39.5837518,-71.52223886
-39.57808008,-71.52103342
-39.57240836,-71.51982799
-39.56673664,-71.51862256
-39.56106493,-71.51741713
-39.55539321,-71.5162117
-39.54972149,-71.51500626
-39.54404977,-71.51380083
-39.53837805,-71.5125954
-39.53270633,-71.51138997
-39.52703461,-71.51018454
-39.52136289,-71.5089791
-39.51569117,-71.50777367
-39.51001946,-71.50656824
-39.50434774,-71.50536281
-39.49867602,-71.50415738
-39.4930043,-71.50295194
-39.48733258,-71.50174651
-39.48166086,-71.50054108
-39.47598914,-71.49933565
-39.47031742,-71.49813022
-39.4646457,-71.49692478
-39.45897398,-71.49571935
-39.45330227,-71.49451392
-39.44763055,-71.49330849
-39.44195883,-71.49210306
-39.43628711,-71.49089762
-39.43061539,-71.48969219
-39.42494367,-71.48848676
-39.41927195,-71.48728133
-39.41360023,-71.4860759
-39.40792851,-71.48487046
-39.40225679,-71.48366503
-39.39658508,-71.4824596
-39.39091336,-71.48125417
-39.38524164,-71.48004874
-39.37956992,-71.4788433
-39.3738982,-71.47763787
-39.36822648,-71.47643244
-39.36255476,-71.47522701
-39.35688304,-71.47402158
-39.35121132,-71.47281614
-39.3455396,-71.47161071
-39.33986789,-71.47040528
-39.33419617,-71.46919985
-39.32852445,-71.46799442
-39.32285273,-71.46678898
-39.31718101,-71.46558355
-39.31150929,-71.46437812
-39.30583757,-71.46317269
-39.30016585,-71.46196726
-39.29449413,-71.46076182
-39.28882241,-71.45955639
-39.2831507,-71.45835096
-39.27747898,-71.45714553
-39.27180726,-71.4559401
-39.26613554,-71.45473466
-39.26046382,-71.45352923
-39.2547921,-71.4523238
-39.24912038,-71.45111837
-39.24344866,-71.44991294
-39.23777694,-71.4487075
-39.23210522,-71.44750207
-39.22643351,-71.44629664
-39.22076179,-71.44509121
-39.21509007,-71.44388578
-39.20941835,-71.44268034
-39.20374663,-71.44147491
-39.19807491,-71.44026948
-39.19240319,-71.43906405
-39.18673147,-71.43785862
-39.18105975,-71.43665318
-39.17538803,-71.43544775
-39.16971632,-71.43424232
-39.1640446,-71.43303689
-39.15837288,-71.43183146
-39.15270116,-71.43062602
-39.14702944,-71.42942059
-39.14135772,-71.42821516
-39.135686,-71.42700973
-39.13001428,-71.4258043
-39.12434256,-71.42459886
-39.11867084,-71.42339343
-39.11299913,-71.422188
-39.10732741,-71.42098257
-39.10165569,-71.41977714
-39.09598397,-71.4185717
-39.09031225,-71.41736627
-39.08464053,-71.41616084
-39.07896881,-71.41495541
-39.07329709,-71.41374998
-39.06762537,-71.41254454
-39.06195365,-71.41133911
-39.05628194,-71.41013368
-39.05061022,-71.40892825
-39.0449385,-71.40772282
-39.03926678,-71.40651738
-39.03359506,-71.40531195
-39.02792334,-71.40410652
-39.02225162,-71.40290109
-39.0165799,-71.40169566
-39.01090818,-71.40049022
-39.00523646,-71.39928479
-38.99956475,-71.39807936
-38.99389303,-71.39687393
-38.98822131,-71.3956685
-38.98254959,-71.39446306
-38.97687787,-71.39325763
-38.97120615,-71.3920522
